15:10:16.122,27.07
15:10:16.641,27.58
15:10:17.121,27.38
15:10:17.640,27.29
15:10:18.153,27.26
15:10:18.674,27.58
15:10:19.151,28.04
15:10:19.669,28.33
15:10:20.189,28.53
15:10:21.000,28.77
15:10:21.193,29.07
15:10:21.711,29.52
15:10:22.193,29.33
15:10:22.711,29.12
15:10:23.740,28.99
15:10:24.253,28.97
15:10:24.733,28.98
15:10:25.248,28.97
15:10:25.762,28.92
15:10:26.280,29.82
15:10:26.793,30.30
15:10:27.274,30.65
15:10:27.789,31.01
15:10:28.304,31.32
15:10:28.820,31.61
15:10:29.301,31.88
15:10:29.817,31.62
15:10:30.334,30.44
,
,
